n_rows,n_duplicates,std,std_norm,std_abs,std_norm_abs,range,range_abs,mean,mean_abs,mean_norm,mean_norm_abs,mean_per_updates,mean_abs_per_updates,pow_2_mean_abs_per_updates,pow_3_mean_abs_per_updates,pow_4_mean_abs_per_updates,mean_abs_per_sqrt_updates,mean_abs_per_log_updates,mean_norm_per_updates,mean_norm_abs_per_updates
1000,1.0405827263267429,442.3728178810267,0.44237281788102667,440.5898205814564,0.4405898205814565,1016,998,-356.7,358.9,-0.3567,0.35890000000000005,-0.35669999999999996,0.3589,0.0003589,3.5889999999999996e-07,3.5889999999999997e-10,11.349414522344313,51.956096518359026,-0.0003567,0.00035890000000000005
1000,1.1547344110854503,473.1931846508358,0.4731931846508358,460.9647600413724,0.46096476004137243,1056,988,-426.1,439.3,-0.42610000000000003,0.4393000000000001,-0.42610000000000003,0.4393,0.0004393,4.393e-07,4.393e-10,13.891885761119692,63.59518863336618,-0.00042610000000000006,0.00043930000000000005
1000,1.5649452269170578,497.1589283116617,0.49715892831166175,491.2214979008961,0.49122149790089603,1020,992,-503.0,508.8,-0.503,0.5088,-0.503,0.5088,0.0005088,5.088e-07,5.088e-10,16.089668734936716,73.65634413079151,-0.000503,0.0005088
1000,3.1545741324921135,455.48080091261807,0.45548080091261806,455.48080091261807,0.45548080091261806,1000,1000,-599.8,599.8,-0.5998,0.5998,-0.5998,0.5998,0.0005997999999999999,5.998e-07,5.997999999999999e-10,18.96734140568994,86.82994341519014,-0.0005998,0.0005998
1000,9.900990099009901,438.25493722261706,0.43825493722261705,430.6837703002053,0.43068377030020527,1048,980,-682.9,687.7,-0.6829,0.6877,-0.6829,0.6877000000000001,0.0006877000000000001,6.877e-07,6.877e-10,21.746983468977948,99.55477173495544,-0.0006829,0.0006877
1000,29.41176470588235,398.6543741137177,0.39865437411371774,398.6543741137177,0.39865437411371774,950,950,-761.3,761.3,-0.7613,0.7613,-0.7613,0.7613,0.0007612999999999999,7.612999999999999e-07,7.612999999999999e-10,24.07441982686187,110.2094630243152,-0.0007613,0.0007613
1000,90.9090909090909,313.1865897512216,0.31318658975122166,313.1865897512216,0.31318658975122166,900,900,-846.4,846.4,-0.8464,0.8464,-0.8463999999999999,0.8463999999999999,0.0008464,8.464e-07,8.464e-10,26.765518115665163,122.52894982763745,-0.0008464000000000001,0.0008464000000000001
1000,250.0,302.4105818254381,0.3024105818254381,297.6107524939245,0.2976107524939245,1016,1000,-899.2,900.8,-0.8992000000000001,0.9007999999999999,-0.8992,0.9007999999999999,0.0009008,9.007999999999999e-07,9.007999999999999e-10,28.48579716279676,130.40415643281642,-0.0008992000000000001,0.0009007999999999999
1000,500.0,225.79096527540688,0.22579096527540693,210.09892907866043,0.21009892907866043,1036,964,-948.2,951.8,-0.9481999999999999,0.9518000000000001,-0.9482,0.9518,0.0009517999999999999,9.517999999999999e-07,9.518e-10,30.098558769482633,137.7871626251717,-0.0009482,0.0009518
3000,1.0615711252653928,1269.25828340807,0.4230860944693566,1258.5251487356143,0.41950838291187137,3078,2990,-808.9,825.5,-0.26963333333333334,0.27516666666666667,-0.26963333333333334,0.27516666666666667,9.172222222222222e-05,3.0574074074074074e-08,1.0191358024691359e-11,15.07149904068382,103.10543364701809,-8.987777777777778e-05,9.172222222222222e-05
3000,1.1627906976744187,1340.6939210722185,0.4468979736907395,1327.049279416556,0.4423497598055186,3090,3000,-1062.1,1079.1,-0.3540333333333333,0.3597,-0.3540333333333333,0.35969999999999996,0.00011989999999999999,3.996666666666666e-08,1.332222222222222e-11,19.701580393460823,134.78022222713167,-0.00011801111111111111,0.0001199
3000,1.5616866215512755,1401.3663903490763,0.4671221301163588,1378.3447174056278,0.4594482391352092,3094,2984,-1321.2,1345.2,-0.4404,0.4484,-0.4404,0.4484,0.00014946666666666668,4.982222222222222e-08,1.660740740740741e-11,24.55987947853165,168.01626813079193,-0.00014680000000000002,0.00014946666666666668
3000,3.161222339304531,1473.7022053318642,0.49123406844395473,1466.8331704730433,0.4889443901576811,3034,2996,-1526.9,1533.5,-0.5089666666666667,0.5111666666666668,-0.5089666666666667,0.5111666666666667,0.0001703888888888889,5.67962962962963e-08,1.89320987654321e-11,27.99775139780574,191.53504845269805,-0.00016965555555555555,0.00017038888888888892
3000,9.966777408637874,1359.2645658590532,0.4530881886196844,1343.2392936480082,0.44774643121600266,3064,2972,-1829.2,1841.0,-0.6097333333333333,0.6136666666666667,-0.6097333333333333,0.6136666666666667,0.00020455555555555556,6.818518518518518e-08,2.2728395061728395e-11,33.61190761223369,229.94197861194462,-0.00020324444444444446,0.00020455555555555556
3000,29.702970297029704,1301.0969218317289,0.4336989739439096,1301.0969218317289,0.4336989739439096,2954,2954,-2056.0,2056.0,-0.6853333333333333,0.6853333333333333,-0.6853333333333333,0.6853333333333333,0.00022844444444444445,7.614814814814815e-08,2.5382716049382716e-11,37.537252607687385,256.7956045769463,-0.00022844444444444445,0.00022844444444444445
